Country or Area,Year(s),Variant,Value
Sri Lanka,2101,Medium,75.84883973509933
Sri Lanka,2100,Medium,88.7112
Sri Lanka,2099,Medium,88.5991
Sri Lanka,2098,Medium,88.4758
Sri Lanka,2097,Medium,88.3628
Sri Lanka,2096,Medium,88.2443
Sri Lanka,2095,Medium,88.1155
Sri Lanka,2094,Medium,87.996
Sri Lanka,2093,Medium,87.8787
Sri Lanka,2092,Medium,87.7545
Sri Lanka,2091,Medium,87.6321
Sri Lanka,2090,Medium,87.5163
Sri Lanka,2089,Medium,87.399
Sri Lanka,2088,Medium,87.2811
Sri Lanka,2087,Medium,87.1575
Sri Lanka,2086,Medium,87.0347
Sri Lanka,2085,Medium,86.9117
Sri Lanka,2084,Medium,86.7883
Sri Lanka,2083,Medium,86.6658
Sri Lanka,2082,Medium,86.5437
Sri Lanka,2081,Medium,86.422
Sri Lanka,2080,Medium,86.2939
Sri Lanka,2079,Medium,86.1635
Sri Lanka,2078,Medium,86.0329
Sri Lanka,2077,Medium,85.911
Sri Lanka,2076,Medium,85.7768
Sri Lanka,2075,Medium,85.6472
Sri Lanka,2074,Medium,85.5184
Sri Lanka,2073,Medium,85.3875
Sri Lanka,2072,Medium,85.2491
Sri Lanka,2071,Medium,85.1129
Sri Lanka,2070,Medium,84.9738
Sri Lanka,2069,Medium,84.8409
Sri Lanka,2068,Medium,84.7065
Sri Lanka,2067,Medium,84.5649
Sri Lanka,2066,Medium,84.4345
Sri Lanka,2065,Medium,84.2932
Sri Lanka,2064,Medium,84.1533
Sri Lanka,2063,Medium,84.0164
Sri Lanka,2062,Medium,83.8803
Sri Lanka,2061,Medium,83.7383
Sri Lanka,2060,Medium,83.5909
Sri Lanka,2059,Medium,83.452
Sri Lanka,2058,Medium,83.3
Sri Lanka,2057,Medium,83.1551
Sri Lanka,2056,Medium,83.0035
Sri Lanka,2055,Medium,82.8528
Sri Lanka,2054,Medium,82.7034
Sri Lanka,2053,Medium,82.5504
Sri Lanka,2052,Medium,82.4003
Sri Lanka,2051,Medium,82.2405
Sri Lanka,2050,Medium,82.0857
Sri Lanka,2049,Medium,81.9428
Sri Lanka,2048,Medium,81.7779
Sri Lanka,2047,Medium,81.619
Sri Lanka,2046,Medium,81.4624
Sri Lanka,2045,Medium,81.2965
Sri Lanka,2044,Medium,81.1271
Sri Lanka,2043,Medium,80.9611
Sri Lanka,2042,Medium,80.8009
Sri Lanka,2041,Medium,80.6362
Sri Lanka,2040,Medium,80.4561
Sri Lanka,2039,Medium,80.2826
Sri Lanka,2038,Medium,80.1135
Sri Lanka,2037,Medium,79.9393
Sri Lanka,2036,Medium,79.7601
Sri Lanka,2035,Medium,79.5859
Sri Lanka,2034,Medium,79.4133
Sri Lanka,2033,Medium,79.2385
Sri Lanka,2032,Medium,79.076
Sri Lanka,2031,Medium,78.8988
Sri Lanka,2030,Medium,78.7227
Sri Lanka,2029,Medium,78.5515
Sri Lanka,2028,Medium,78.378
Sri Lanka,2027,Medium,78.1998
Sri Lanka,2026,Medium,78.0319
Sri Lanka,2025,Medium,77.8539
Sri Lanka,2024,Medium,77.6725
Sri Lanka,2023,Medium,77.4828
Sri Lanka,2022,Medium,77.2996
Sri Lanka,2021,Medium,76.2779
Sri Lanka,2020,Medium,76.9281
Sri Lanka,2019,Medium,76.698
Sri Lanka,2018,Medium,76.4853
Sri Lanka,2017,Medium,76.2386
Sri Lanka,2016,Medium,76.1361
Sri Lanka,2015,Medium,75.9899
Sri Lanka,2014,Medium,75.7573
Sri Lanka,2013,Medium,75.5461
Sri Lanka,2012,Medium,75.1866
Sri Lanka,2011,Medium,74.7405
Sri Lanka,2010,Medium,74.4626
Sri Lanka,2009,Medium,70.2976
Sri Lanka,2008,Medium,72.5557
Sri Lanka,2007,Medium,72.9831
Sri Lanka,2006,Medium,72.825
Sri Lanka,2005,Medium,73.0733
Sri Lanka,2004,Medium,68.0218
Sri Lanka,2003,Medium,72.4417
Sri Lanka,2002,Medium,72.2711
Sri Lanka,2001,Medium,71.8044
Sri Lanka,2000,Medium,71.1787
Sri Lanka,1999,Medium,70.4265
Sri Lanka,1998,Medium,70.1342
Sri Lanka,1997,Medium,69.9345
Sri Lanka,1996,Medium,69.8405
Sri Lanka,1995,Medium,69.7456
Sri Lanka,1994,Medium,70.2114
Sri Lanka,1993,Medium,70.0485
Sri Lanka,1992,Medium,69.6191
Sri Lanka,1991,Medium,69.131
Sri Lanka,1990,Medium,69.2389
Sri Lanka,1989,Medium,67.2839
Sri Lanka,1988,Medium,68.9952
Sri Lanka,1987,Medium,69.0086
Sri Lanka,1986,Medium,68.9617
Sri Lanka,1985,Medium,68.8812
Sri Lanka,1984,Medium,68.7612
Sri Lanka,1983,Medium,68.7258
Sri Lanka,1982,Medium,68.6649
Sri Lanka,1981,Medium,68.3802
Sri Lanka,1980,Medium,68.0059
Sri Lanka,1979,Medium,67.5141
Sri Lanka,1978,Medium,66.8436
Sri Lanka,1977,Medium,66.3913
Sri Lanka,1976,Medium,65.8399
Sri Lanka,1975,Medium,65.3554
Sri Lanka,1974,Medium,64.966
Sri Lanka,1973,Medium,64.7855
Sri Lanka,1972,Medium,64.6249
Sri Lanka,1971,Medium,64.2402
Sri Lanka,1970,Medium,64.3521
Sri Lanka,1969,Medium,64.1379
Sri Lanka,1968,Medium,63.8694
Sri Lanka,1967,Medium,63.5559
Sri Lanka,1966,Medium,63.1563
Sri Lanka,1965,Medium,62.7926
Sri Lanka,1964,Medium,62.376
Sri Lanka,1963,Medium,62.0307
Sri Lanka,1962,Medium,61.627
Sri Lanka,1961,Medium,61.1582
Sri Lanka,1960,Medium,60.6022
Sri Lanka,1959,Medium,59.9707
Sri Lanka,1958,Medium,59.2796
Sri Lanka,1957,Medium,58.5353
Sri Lanka,1956,Medium,57.8952
Sri Lanka,1955,Medium,57.1783
Sri Lanka,1954,Medium,56.4393
Sri Lanka,1953,Medium,55.6499
Sri Lanka,1952,Medium,54.859
Sri Lanka,1951,Medium,53.9808
Sri Lanka,1950,Medium,53.1686
